text,label
i feel like ive pressured her into this so i tell her no,4
i havent gotten them yet because i still resent paying dollars for a procedure that wasnt fully successful and since i wore glasses for years i feel ive been tortured enough,4
i do feel doubtful i cant help but have that oh so teeny tiny speck of hope,4
i know that sometimes when you go out for dinner with your parents and relatives you do feel shy to tell them you have formed a band,4
i remember feeling hesitant about this as you would,4
i have this story to tell and the characters include me and a handsome devil who was at my house late last night but for some reason im feeling rather bashful with the details so just the highlights,4
i feel agitated and concerned and worried,4
i feel frightened stiff and rude a towering failure of grace,4
im fascinated and appalled that people feel so threatened by my existence as a gay married sexually active bisexual that they try to pass laws to erase my gay married existence and when that fails simply say that my marriage a href http familyscholars,4
i feel shaky and emotional just thinking about it which im sure the lack of sleep isnt helping,4
i feel really tortured,4
i understand they dump some extra citrate into what they pump back into your bloodstream so that you end up feeling some weird tingling sensations that i cant imagine anyone finding pleasant,4
i am feeling a bit doubtful,4
i shifted some a bit earlier and am just feeling insecure after my last mile attempt that ended at miles,4
i have learned that it is common for many people to share their opinions with you whether it be blatantly or subtly sometimes these opinions are greatly appreciated and other times they can come across as if it is the right way which sometimes left me feeling judged intimidated or overwhelmed,4
i start to run again i usually feel like i should be running and running only that a walk will be taking the wimpy way out,4
im feeling a little gun shy,4
i feel so confused and nervous like on my first day,4
i feel kind of strange saying that when i got them for free but i should be honest right,4
i backpacked through europe by myself for five weeks in the summer of and never once did i feel fearful of being over there alone or that something bad would happen,4
i was sound asleep probably in the middle of a good dream too until i feel my legs being shaken,4
i asked you laurel snyder and matthew zapruder whether you feel joy or tortured when you write poetry and all three of you sighed and said tortured or some form of torture,4
i feel helpless in many ways,4
im perfectly happy with just being me and accepting my natural body shape as opposed to starving myself to obtain something that isnt natural to my body and its also important for people who are naturally skinny to not feel pressured into putting on weight due to being ridiculed for being slim,4
im feeling a little scared,4
i already told him i feel skeptical about a progression in a relationship for us,4
i am feeling a little intimidated by the riders in central park right now and i dont want to go,4
i dont know when will i delete this post because ill probably feel insecure after publishing it,4
i feel that im so indecisive,4
i stop this no thought eating after i am feeling fearful guilty angry or bored,4
im thinking that shes feeling pressured to be a big girl with school starting etc and is regressing,4
i feel timid about teaching and i question where i belong in the field,4
i feel more confused than assured that i am doing anything right these days,4
i was crying overcome by the feeling then was startled by a mans voice near me asking if i was all right,4
i was surprised as i didn t feel at all frightened at the time and as if on auto pilot i followed my training instructions to the letter,4
im feeling a bit skeptical but i lay down and submit myself to belly and feet probing,4
i work in feels like a strange prison sentence,4
im trying to ease up on feeling frantic about getting it done,4
i feel insecure why are you going with someone else,4
i am far from feeling distraught about turning this year i am thankful for my new found appreciation of life,4
i feel so insecure,4
i feel tortured so much,4
i did feel a bit restless,4
i feel nervous i always remind myself to take deep breath and try to think of something happy or even not think anything at all,4
i can make small talk if need be but i feel very shy and awkward sometimes,4
i thought it was just the noise that was making him feel reluctant,4
i really cant count the number of times i cried feeling overwhelmed by someones expression of concern or just by the very fact that they were thinking of me,4
im pissed off that i couldnt get a refund on the drinks tokens but ive just learnt that i can get one tomorrow so i feel slightly less agitated although annoyed that i couldnt get one on the night,4
id never seen her cry and that also left me feeling helpless and alone,4
i did not feel frightened at all,4
i am feeling a bit distraught,4
i love and so many people i care about and i don t understand how people can travel like this and not feel absolutely terrified that when they get home something will be missing,4
i feel really intimidated,4
i work or what i work on or and i started feeling frantic and like i didn t have enough time,4
i am feeling insecure all the time,4
i think im just feeling a bit overwhelmed,4
i came back from blissful days in ohio feeling even more restless and antsy,4
i suppose pregnancy is taking a toll along with some other personal things that have me feeling helpless and just,4
i try to hold my tongue try to see it from his point of view but inside i am feeling agitated and irritable about all this pressure to please him when i cannot seem to get my own self in order,4
i like it but i feel weird with adele in the house,4
i am feeling sceptical,4
i go in coeur d alene im surrounded by them and it feels strange to look at them and think all these people are actually as nuts as me,4
i then notice that my body is running and trembling and guess that i should feel afraid,4
i looked away from her immediately feeling shaky,4
i learned that when parenting seems like the hardest thing ive ever done when it feels like its going to swallow me in and when i feel confused knowing i was made for this but wishing i was better at it,4
i attribute to men feeling threatened by the idea of female empowerment,4
i was feeling nervous as i am sure every intern was feeling,4
i feel paranoid and trapped tamara ecclestone s,4
i could feel my knees a little bit a little shaken a little extra adrenaline going for the ninth inning,4
i can remember from an early age what it was like feeling pressured to find the one,4
i feel terrified for the new generations,4
im going on a long car ride with people who make me feel really uptight,4
i have been frightened of the feelings i have for you and frightened that i would lose your friendship if i dared to tell you how i felt,4
i feel as though i am completely paranoid of everyone around me,4
i am quite sure there are people out there who will read those words and feel alarmed,4
when my brother had an epileptic attack and i was scared as to what would happen to him,4
i feel really uncertain and overwhelmed yeah not what you were expecting haha,4
i sat in the patient room of my doctors office recently feeling quite agitated while trying to remain calm exhuding a cool exterior,4
i had already worked the issue out in my head but i felt the need to share with a friend and that is allright i know that it is but sometimes i still feel apprehensive,4
i donno i feel a bit uncertain about that change,4
i was sitting in my office earlier working when i could feel nay i could sense a nervous type of energy growing in the house,4
i was starting to feel a little distressed since i had climbed higher peaks before and didn t remember feeling this challenged or this rundown so quickly,4
i was feeling apprehensive about but the nice thing about low jumps is you can jump them from a standstill even when your horse stops right on top of them,4
i feel as uncertain and dishevelled as my country appears today,4
