MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,37.85,-122.24,3.5210000000000004
5.6431,52.0,5.817351598173516,1.0730593607305936,558.0,2.5479452054794516,37.85,-122.25,3.4130000000000003
4.0368,52.0,4.761658031088083,1.1036269430051813,413.0,2.139896373056995,37.85,-122.25,2.697
3.12,52.0,4.797527047913447,1.061823802163833,1157.0,1.7882534775888717,37.84,-122.25,2.414
3.6912,52.0,4.970588235294118,0.9901960784313726,1551.0,2.1722689075630246,37.84,-122.25,2.611
3.2031,52.0,5.477611940298507,1.079601990049751,910.0,2.263681592039801,37.85,-122.26,2.815
3.2705,52.0,4.7724795640326985,1.0245231607629428,1504.0,2.0490463215258856,37.85,-122.26,2.418
3.075,52.0,5.322649572649572,1.0128205128205128,1098.0,2.3461538461538463,37.85,-122.26,2.135
2.6736,52.0,4.0,1.0977011494252873,345.0,1.9827586206896552,37.84,-122.26,1.913
1.9167,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774196,37.85,-122.26,1.5919999999999999
2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26,1.4
2.775,52.0,5.9395770392749245,1.0483383685800605,793.0,2.3957703927492453,37.85,-122.27,1.525
2.1202,52.0,4.0528052805280534,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27,1.555
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475
1.725,52.0,5.096234309623432,1.1317991631799162,1015.0,2.1234309623430963,37.84,-122.27,1.139
2.1806,52.0,5.193846153846153,1.0369230769230768,853.0,2.624615384615385,37.84,-122.27,0.997
2.6,52.0,5.270142180094787,1.0355450236966826,1006.0,2.3838862559241707,37.84,-122.27,1.3259999999999998
2.4597,49.0,4.728033472803348,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28,0.938
1.808,52.0,4.780856423173804,1.0604534005037782,1102.0,2.7758186397984885,37.85,-122.28,1.055
1.6424,50.0,4.40169133192389,1.040169133192389,1131.0,2.3911205073995774,37.84,-122.28,1.089
1.9274,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,37.84,-122.28,1.2229999999999999
1.7969,48.0,5.737313432835821,1.2208955223880598,1026.0,3.0626865671641785,37.84,-122.27,1.104
1.2852,51.0,3.759036144578314,1.248995983935743,517.0,2.076305220883534,37.83,-122.26,1.5
1.025,49.0,3.772486772486773,1.0687830687830688,462.0,2.4444444444444446,37.84,-122.26,1.188
3.9643,52.0,4.797979797979798,1.0202020202020199,467.0,2.3585858585858586,37.84,-122.26,1.8880000000000001
0.9506,40.0,3.9,1.21875,423.0,2.64375,37.82,-122.26,1.875
1.775,40.0,2.6875,1.0653409090909092,700.0,1.9886363636363635,37.82,-122.27,1.125
1.2475,52.0,4.075,1.14,1162.0,2.905,37.82,-122.27,1.042
1.5057,52.0,4.779922779922781,1.111969111969112,622.0,2.4015444015444016,37.82,-122.28,0.875
0.8172,52.0,6.102459016393442,1.3729508196721312,728.0,2.9836065573770494,37.82,-122.28,0.853
1.2171,52.0,4.5625,1.1217105263157894,1074.0,3.5328947368421053,37.82,-122.28,0.8029999999999999
3.3929,52.0,5.994652406417113,1.1283422459893049,554.0,2.962566844919786,37.83,-122.29,0.757
6.1183,49.0,5.869565217391305,1.2608695652173914,86.0,3.739130434782609,37.82,-122.29,0.75
0.9011,50.0,6.229508196721312,1.5573770491803278,377.0,3.0901639344262297,37.81,-122.29,0.861
2.5938,48.0,6.225563909774437,1.368421052631579,392.0,2.9473684210526314,37.81,-122.3,0.735
1.8516,52.0,6.975609756097561,1.329268292682927,274.0,3.3414634146341466,37.81,-122.3,0.85
0.9802,46.0,4.584288052373159,1.0540098199672667,1823.0,2.983633387888707,37.81,-122.29,1.2919999999999998
1.75,49.0,5.552631578947367,1.3421052631578947,560.0,3.684210526315789,37.81,-122.29,0.75
0.4999,46.0,1.7142857142857142,0.5714285714285714,18.0,2.571428571428572,37.81,-122.29,0.675
2.483,20.0,6.2781954887218046,1.2105263157894737,290.0,2.1804511278195493,37.81,-122.29,1.375
2.4464,36.0,5.724950884086443,1.1041257367387034,1236.0,2.428290766208252,37.81,-122.28,1.021
1.1111,19.0,5.8309178743961345,1.173913043478261,721.0,3.483091787439613,37.81,-122.28,1.083
2.0114,38.0,4.412903225806452,1.135483870967742,344.0,2.2193548387096773,37.8,-122.28,1.3130000000000002
1.8088,35.0,5.609467455621302,1.0887573964497042,467.0,2.763313609467456,37.81,-122.28,1.188
2.4083,52.0,6.721739130434782,1.2434782608695651,377.0,3.2782608695652176,37.81,-122.28,0.982
0.977,40.0,2.3157894736842106,1.186842105263158,582.0,1.5315789473684212,37.81,-122.27,1.188
0.76,10.0,2.6515151515151514,1.0545454545454545,546.0,1.6545454545454543,37.81,-122.27,1.625
0.9722,10.0,2.6923076923076925,1.0769230769230769,125.0,3.2051282051282053,37.8,-122.27,1.375
2.0938,16.0,2.74585635359116,1.0828729281767957,800.0,2.209944751381216,37.8,-122.27,1.625
0.75,52.0,2.8235294117647056,0.9117647058823528,191.0,5.617647058823528,37.8,-122.28,1.625
2.0096,36.0,2.2940163581575552,1.066293585880327,3469.0,1.4933275936289283,37.8,-122.26,1.3
2.8345,31.0,3.894915254237288,1.1279661016949152,2048.0,1.7355932203389832,37.82,-122.26,1.838
2.6104,37.0,3.707142857142857,1.1071428571428572,1838.0,1.8755102040816327,37.82,-122.26,1.931
3.125,39.0,3.745614035087719,1.0614035087719298,389.0,1.7061403508771933,37.81,-122.25,2.375
2.8406,34.0,3.2817216321967586,1.0698714365567357,2689.0,1.5030743432084963,37.81,-122.26,3.3569999999999998
4.9306,52.0,6.1844262295081975,0.9221311475409836,674.0,2.762295081967213,37.82,-122.24,3.134
3.2727,52.0,4.442982456140351,1.0570175438596492,709.0,1.5548245614035088,37.81,-122.24,2.685
2.4234,28.0,3.0234798314268514,1.053582179409994,2558.0,1.5400361228175798,37.83,-122.25,2.185
3.0897,52.0,4.040501446480231,1.0655737704918034,1786.0,1.7222757955641272,37.83,-122.25,2.3409999999999997
5.8596,50.0,6.742627345844504,1.0697050938337802,970.0,2.6005361930294906,37.84,-122.23,3.2760000000000002
5.2868,47.0,6.546391752577318,0.936082474226804,1098.0,2.263917525773196,37.84,-122.23,3.4760000000000004
6.3434,52.0,6.9478908188585615,1.01985111662531,1061.0,2.6327543424317614,37.85,-122.23,3.736
7.2354,52.0,7.117166212534059,0.994550408719346,901.0,2.455040871934605,37.85,-122.24,3.911
7.5,50.0,6.127348643006263,0.9874739039665972,1031.0,2.152400835073069,37.84,-122.22,2.952
6.0194,44.0,5.735343383584588,1.0,1358.0,2.274706867671692,37.84,-122.21,2.923
7.5544,40.0,7.631498470948013,1.0305810397553516,1616.0,2.470948012232416,37.83,-122.21,4.115
6.0666,30.0,6.446064139941691,1.0087463556851313,844.0,2.4606413994169096,37.84,-122.2,3.115
7.0548,34.0,6.125,0.9879032258064516,1140.0,2.298387096774193,37.84,-122.21,3.259
11.6017,18.0,8.335051546391753,1.0824742268041236,533.0,2.747422680412371,37.84,-122.19,3.926
7.4882,35.0,6.467268623024831,1.0383747178329572,1072.0,2.419864559819413,37.84,-122.2,3.193
6.8976,34.0,6.6122715404699735,1.0287206266318538,1627.0,2.1240208877284594,37.83,-122.21,3.333
6.8538,29.0,6.657992565055762,1.0074349442379182,661.0,2.45724907063197,37.83,-122.19,3.6889999999999996
8.317,32.0,6.977186311787072,1.0038022813688212,635.0,2.414448669201521,37.82,-122.19,3.659
7.0175,37.0,6.982954545454546,1.0284090909090908,420.0,2.386363636363636,37.82,-122.2,3.667
5.2402,52.0,6.200892857142858,0.9464285714285714,510.0,2.2767857142857144,37.81,-122.21,2.964
6.5217,52.0,6.399350649350651,1.0876623376623376,765.0,2.4837662337662336,37.81,-122.22,2.737
3.2632,52.0,4.745652173913044,1.0108695652173914,1129.0,2.4543478260869565,37.8,-122.22,2.2769999999999997
4.5428,52.0,5.283495145631068,1.0504854368932042,1185.0,2.300970873786408,37.8,-122.22,2.398
4.072,52.0,5.952941176470588,0.9970588235294118,756.0,2.223529411764706,37.81,-122.22,2.701
6.0302,52.0,5.8203125,0.9296875,634.0,2.4765625,37.81,-122.24,2.873
2.7477,52.0,4.333333333333333,1.1387163561076603,918.0,1.9006211180124224,37.81,-122.24,2.438
2.1944,52.0,5.074285714285714,0.96,360.0,2.057142857142857,37.8,-122.24,2.115
1.3929,29.0,3.1927554980595083,1.1177231565329884,1335.0,1.7270375161707632,37.8,-122.25,1.9380000000000002
2.3173,27.0,3.804195804195804,1.1468531468531469,1171.0,2.729603729603729,37.79,-122.24,1.25
1.7772,45.0,3.882608695652174,1.1434782608695653,1475.0,3.2065217391304346,37.79,-122.25,0.975
2.2303,36.0,3.0902394106813995,1.1160220994475138,1645.0,3.029465930018416,37.8,-122.25,1.167
2.125,47.0,4.528052805280528,1.3036303630363035,1237.0,4.082508250825082,37.79,-122.24,0.955
2.2542,43.0,4.554621848739496,1.0532212885154062,1284.0,3.596638655462185,37.79,-122.24,1.122
2.1,51.0,3.1818181818181817,0.7818181818181819,228.0,4.1454545454545455,37.79,-122.25,0.75
3.625,52.0,3.9735682819383262,1.0440528634361232,846.0,3.7268722466960353,37.79,-122.25,1.25
1.6929,20.0,3.510355029585799,1.1523668639053255,1659.0,2.45414201183432,37.8,-122.26,1.15
1.6471,52.0,2.833333333333333,0.927536231884058,520.0,3.768115942028986,37.77,-122.22,0.95
2.6429,52.0,3.7460317460317465,1.1587301587301588,415.0,3.293650793650793,37.78,-122.23,0.713
1.9338,43.0,3.2420091324200917,1.0776255707762556,1506.0,3.4383561643835616,37.78,-122.23,1.125
1.4844,52.0,3.8666666666666663,1.0117647058823531,1008.0,3.952941176470589,37.78,-122.23,1.194
2.0375,48.0,4.944606413994169,1.154518950437318,1481.0,4.317784256559767,37.79,-122.23,1.225
