title,genres
Father of the Bride Part II (1995),Comedy
Sudden Death (1995),Action
Nixon (1995),Drama
Four Rooms (1995),Comedy
Ace Ventura: When Nature Calls (1995),Comedy
Othello (1995),Drama
Dangerous Minds (1995),Drama
"Cry, the Beloved Country (1995)",Drama
Restoration (1995),Drama
Georgia (1995),Drama
Home for the Holidays (1995),Drama
Mr. Holland's Opus (1995),Drama
Bio-Dome (1996),Comedy
Friday (1995),Comedy
Fair Game (1995),Action
Nico Icon (1995),Documentary
Black Sheep (1996),Comedy
Heidi Fleiss: Hollywood Madam (1995),Documentary
Mr. Wrong (1996),Comedy
Happy Gilmore (1996),Comedy
Catwalk (1996),Documentary
Anne Frank Remembered (1995),Documentary
"Steal Big, Steal Little (1995)",Comedy
"Boys of St. Vincent, The (1992)",Drama
Flirting With Disaster (1996),Comedy
Jupiter's Wife (1994),Documentary
Jade (1995),Thriller
Down Periscope (1996),Comedy
Man of the Year (1995),Documentary
"Birdcage, The (1996)",Comedy
"Brothers McMullen, The (1995)",Comedy
"Basketball Diaries, The (1995)",Drama
"Awfully Big Adventure, An (1995)",Drama
Beauty of the Day (Belle de jour) (1967),Drama
Crumb (1994),Documentary
Jury Duty (1995),Comedy
Kids (1995),Drama
Living in Oblivion (1995),Comedy
Lord of Illusions (1995),Horror
Nadja (1994),Drama
Party Girl (1995),Comedy
Safe (1995),Thriller
Showgirls (1995),Drama
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
Under Siege 2: Dark Territory (1995),Action
Unzipped (1995),Documentary
White Man's Burden (1995),Drama
"Browning Version, The (1994)",Drama
Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
Billy Madison (1995),Comedy
"Cure, The (1995)",Drama
Castle Freak (1995),Horror
Clerks (1994),Comedy
Destiny Turns on the Radio (1995),Comedy
Exotica (1994),Drama
Exit to Eden (1994),Comedy
Hideaway (1995),Thriller
Hoop Dreams (1994),Documentary
Houseguest (1994),Comedy
"Hunted, The (1995)",Action
Jefferson in Paris (1995),Drama
"Jerky Boys, The (1995)",Comedy
Little Women (1994),Drama
Ladybird Ladybird (1994),Drama
Major Payne (1995),Comedy
My Crazy Life (Mi vida loca) (1993),Drama
Losing Isaiah (1995),Drama
Man of the House (1995),Comedy
Mixed Nuts (1994),Comedy
Miracle on 34th Street (1994),Drama
Miami Rhapsody (1995),Comedy
My Family (1995),Drama
Nell (1994),Drama
Pushing Hands (Tui shou) (1992),Drama
Priest (1994),Drama
Quiz Show (1994),Drama
Ready to Wear (Pret-A-Porter) (1994),Comedy
Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
Rent-a-Kid (1995),Comedy
Stuart Saves His Family (1995),Comedy
Strawberry and Chocolate (Fresa y chocolate) (1993),Drama
National Lampoon's Senior Trip (1995),Comedy
To Live (Huozhe) (1994),Drama
Tom & Viv (1994),Drama
Tommy Boy (1995),Comedy
Vanya on 42nd Street (1994),Drama
What's Eating Gilbert Grape (1993),Drama
